2024-10-03 18:46:40 ,MCP, {~0}{~0}{~0}{~0}
2024-10-03 18:46:42 ,Scn, H
2024-10-03 18:46:42 ,MCP, {~0}
2024-10-03 18:46:42 ,Scn, A
2024-10-03 18:46:42 ,iTc, {^0}{^0}
2024-10-03 18:46:42 ,Scn, L
2024-10-03 18:46:42 ,MCP, {~0}
2024-10-03 18:46:42 ,Scn, LO
2024-10-03 18:46:43 ,iTc, {^0}
2024-10-03 18:46:43 ,Scn,  
2024-10-03 18:46:43 ,MCP, {~0}
2024-10-03 18:46:43 ,iTc, {^0}
2024-10-03 18:46:43 ,Scn, \_
2024-10-03 18:46:43 ,Scn, 
2024-10-03 18:46:43 ,MCP, {~0}
2024-10-03 18:46:43 ,iTc, {^0}
2024-10-03 18:46:44 ,MCP, {~0}
2024-10-03 18:46:44 ,Scn, H
2024-10-03 18:46:44 ,MCP, {~0}
2024-10-03 18:46:44 ,iTc, {^0}
2024-10-03 18:46:44 ,Scn, I
2024-10-03 18:46:45 ,iTc, {^0}
2024-10-03 18:46:45 ,MCP, {~0}
2024-10-03 18:46:45 ,Scn, ER 
2024-10-03 18:46:45 ,iTc, {^0}
2024-10-03 18:46:45 ,MCP, {~0}
2024-10-03 18:46:45 ,iTc, {^0}
2024-10-03 18:46:45 ,Scn, BI
2024-10-03 18:46:46 ,iTc, {^0}{^0}
2024-10-03 18:46:46 ,Scn, N
2024-10-03 18:46:46 ,MCP, {~0}
2024-10-03 18:46:46 ,Scn,  I
2024-10-03 18:46:46 ,iTc, {^0}
2024-10-03 18:46:46 ,Scn, C
2024-10-03 18:46:46 ,iTc, {^0}
2024-10-03 18:46:46 ,MCP, {~0}
2024-10-03 18:46:47 ,Scn, H \_
2024-10-03 18:46:47 ,Scn, 
2024-10-03 18:46:47 ,iTc, {^0}
2024-10-03 18:46:47 ,MCP, {~0}
2024-10-03 18:46:47 ,iTc, {^0}
2024-10-03 18:46:48 ,MCP, {~0}
2024-10-03 18:46:48 ,Scn, TE
2024-10-03 18:46:48 ,MCP, {~0}
2024-10-03 18:46:48 ,Scn, S
2024-10-03 18:46:48 ,iTc, {^0}
2024-10-03 18:46:48 ,Scn, T
2024-10-03 18:46:49 ,MCP, {~0}
2024-10-03 18:46:49 ,iTc, {^0}
2024-10-03 18:46:49 ,Scn, \_
2024-10-03 18:46:49 ,Scn, 
2024-10-03 18:46:49 ,iTc, {^0}
2024-10-03 18:46:49 ,MCP, {~0}
2024-10-03 18:46:49 ,Scn, G
2024-10-03 18:46:49 ,iTc, {^0}
2024-10-03 18:46:50 ,Scn, E
2024-10-03 18:46:50 ,MCP, {~0}
2024-10-03 18:46:50 ,Scn, IL
2024-10-03 18:46:50 ,iTc, {^0}{^0}
2024-10-03 18:46:50 ,MCP, {~0}
2024-10-03 18:46:50 ,Scn, \_
2024-10-03 18:46:50 ,Scn, 
2024-10-03 18:46:51 ,iTc, {^0}
2024-10-03 18:46:51 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:46:54 ,iTc, {^0}
2024-10-03 18:46:54 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:46:58 ,iTc, {^0}
2024-10-03 18:46:58 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:47:01 ,iTc, {^0}
2024-10-03 18:47:01 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:47:05 ,iTc, {^0}
2024-10-03 18:47:05 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:47:08 ,iTc, {^0}
2024-10-03 18:47:08 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:47:12 ,iTc, {^0}
2024-10-03 18:47:12 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:47:15 ,iTc, {^0}
2024-10-03 18:47:15 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:47:19 ,iTc, {^0}
2024-10-03 18:47:19 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:47:22 ,iTc, {^0}
2024-10-03 18:47:23 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:47:26 ,iTc, {^0}
2024-10-03 18:47:26 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}{~0}
2024-10-03 18:47:29 ,iTc, {^0}
2024-10-03 18:47:30 ,MCP, {~0}{~0}{~0}{~0}{~0}{~0}{~0}
